duration,complete,txns_in,amount,subcateg
5.0,True,0.25,10.0,deposit~withdraw
8.0,True,0.25,10.0,deposit~withdraw
15.0,True,0.25,10.0,deposit~withdraw
16.0,True,0.25,10.0,deposit~withdraw
5.0,True,0.3333333333333333,10.0,deposit~withdraw
24.0,True,0.3333333333333333,10.0,deposit~withdraw
58.0,True,0.16666666666666666,5.0,deposit~withdraw
32.0,True,0.5,5.0,deposit~withdraw
98.0,True,0.16666666666666666,5.0,deposit~withdraw
72.0,True,0.5,5.0,deposit~withdraw
1.0,True,0.5,10.0,deposit~withdraw
12.0,True,0.25,5.0,deposit~withdraw
31.0,True,0.21951219512195125,4.390243902439025,deposit~withdraw
2.0,True,0.878048780487805,175.609756097561,deposit~withdraw
61.0,True,0.012195121951219513,0.24390243902439024,deposit~withdraw
32.0,True,0.04878048780487806,9.756097560975611,deposit~withdraw
77.0,True,0.012195121951219513,0.24390243902439024,deposit~withdraw
48.0,True,0.04878048780487804,9.756097560975608,deposit~withdraw
95.0,True,0.006097560975609756,0.12195121951219512,deposit~withdraw
66.0,True,0.02439024390243902,4.878048780487804,deposit~withdraw
