trj_timestamp,trj_amt,trj_txn,trj_categ,trj_len,trj_dur,txn_IDs,txn_types,txn_amts,txn_revs,txn_txns,acct_IDs,acct_durs
2019-08-18 00:00:00,10.0,0.25,"(deposit,withdraw)",0,5.0,"[10000010,10000011]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.25,1.0]","[AAA,XYZ,provider]",[5.0]
2019-08-18 00:00:00,10.0,0.25,"(deposit,withdraw)",0,8.0,"[10000010,10000012]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.25,1.0]","[AAA,XYZ,provider]",[8.0]
2019-08-18 00:00:00,10.0,0.25,"(deposit,withdraw)",0,15.0,"[10000010,10000013]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.25,1.0]","[AAA,XYZ,provider]",[15.0]
2019-08-18 00:00:00,10.0,0.25,"(deposit,withdraw)",0,16.0,"[10000010,10000014]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.25,1.0]","[AAA,XYZ,provider]",[16.0]
2019-08-21 06:00:00,10.0,0.3333333333333333,"(deposit,withdraw)",0,5.0,"[10000015,10000016]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]","[BBB,XYZ,provider]",[5.0]
2019-08-21 06:00:00,10.0,0.3333333333333333,"(deposit,withdraw)",0,24.0,"[10000015,10000017]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]","[BBB,XYZ,provider]",[24.0]
2019-08-22 08:00:00,10.0,1.0,"(deposit,withdraw)",0,32.0,"[10000018,10000019]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[1.0,1.0]","[CCC,XYZ,provider]",[32.0]
2019-08-21 06:00:00,10.0,0.3333333333333333,"(deposit,withdraw)",0,98.0,"[10000015,10000020]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.3333333333333333,1.0]","[BBB,XYZ,provider]",[98.0]
2019-08-27 08:00:00,10.0,0.5,"(deposit,withdraw)",0,0:00:00,"[i_d4dbec3bfb9c,10000022]","[accounting,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.5,1.0]","[inferred,XYZ,provider]",[0.0]
2019-08-27 08:00:00,5.0,0.25,"(deposit,withdraw)",0,11.0,"[i_d4dbec3bfb9c,10000023]","[accounting,mobile-minutes]","[5.0,5.0]","[0.0,0.0]","[0.25,1.0]","[inferred,XYZ,provider]",[11.0]
2019-08-28 12:00:00,180.0,0.9,"(deposit,withdraw)",0,2.0,"[10000024,10000025]","[cash-in,bill-payment]","[180.0,180.0]","[0.0,0.0]","[0.9,1.0]","[EEE,XYZ,utility]",[2.0]
2019-08-28 12:00:00,10.0,0.05,"(deposit,withdraw)",0,32.0,"[10000024,10000026]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.05,1.0]","[EEE,XYZ,provider]",[32.0]
2019-08-28 12:00:00,10.0,0.05,"(deposit,withdraw)",0,48.0,"[10000024,10000027]","[cash-in,mobile-minutes]","[10.0,10.0]","[0.0,0.0]","[0.05,1.0]","[EEE,XYZ,provider]",[48.0]
2019-08-27 08:00:00,5.0,0.25,"(deposit,withdraw)",0,94.0,"[i_d4dbec3bfb9c,10000028]","[accounting,mobile-minutes]","[5.0,5.0]","[0.0,0.0]","[0.25,1.0]","[inferred,XYZ,provider]",[94.0]
2019-08-17 23:59:58,20.0,1.0,"(deposit,withdraw)",0,336.00027777805553,"[i_306ba2e326d2,i_c588d4facd5f]","[initial,final]","[20.0,20.0]","[0.0,0.0]","[1.0,1.0]","[inferred,XYZ,inferred]",[336.00027777805553]
